BOAT,DATETIME,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s,BearingToMark,RelativeAngle,VMC,BearingToTarget
AUS,2025-01-19 03:08:01,2025-01-19 16:08:01,-36.8330907,174.7684749,79.78,76.61,344.23,91.57,41.87,66.13,33.1,1.1,339.67,5.53,-5.52,-22.87,-19.77,0.0,-16.52,-12.92,-10.43,12.56,32.93,0.93,-0.73,1824.03,1875.64,1984.99,-0.14,1.86,0.77,-1.16,4.99,-0.14,-0.73,7.0,1.0,25011905.0,-0.52,0.0,28.97,235.02,2.71,28.8,0.0019581869011631,21.445998604590102,74.25623886181005,322.7840013954099
AUS,2025-01-19 03:08:02,2025-01-19 16:08:02,-36.8329074,174.7683945,78.79,78.79,343.47,86.27,41.68,66.49,28.43,4.15,346.28,1.35,-2.8,-22.95,-21.67,0.0,-20.22,-17.87,-18.73,4.23,33.2,-3.22,-0.33,1443.97,1426.18,1525.22,-2.03,1.87,0.99,1.29,4.99,-0.08,-0.73,7.0,1.0,25011905.0,-1.52,0.0,27.91,237.0,2.71,27.3,0.0020809887977293,21.52795304303885,73.29350333910396,321.9420469569612
AUS,2025-01-19 03:08:03,2025-01-19 16:08:03,-36.8327183,174.7683426,76.44,74.03,348.51,81.27,41.5,66.71,25.22,0.1,350.9,-1.96,14.93,-22.87,-22.42,0.0,-21.85,-19.83,-21.86,1.06,32.54,-1.87,-0.58,973.05,833.07,891.74,2.74,1.88,1.14,2.13,4.99,-0.14,-0.74,7.0,1.0,25011905.0,-2.52,0.0,25.28,237.03,2.71,24.8,0.0021602604687132,27.805378108741763,67.61402307934931,320.7046218912582
AUS,2025-01-19 03:08:04,2025-01-19 16:08:04,-36.8325353,174.7683036,73.48,71.34,344.33,76.28,41.32,66.36,24.95,-4.01,346.52,-1.47,21.97,-22.74,-22.42,0.0,-21.84,-19.94,-22.07,0.68,31.29,-3.09,2.67,749.01,669.45,614.3,2.67,1.89,1.31,3.25,4.99,-0.16,-0.68,7.0,1.0,25011905.0,-3.52,0.0,26.11,237.09,2.71,26.2,0.0022198289300376,25.03732886144894,66.57525002636767,319.29267113855104
AUS,2025-01-19 03:08:05,2025-01-19 16:08:05,-36.8323622,174.7682479,71.37,70.52,337.65,83.59,40.86,65.8,27.14,-8.13,337.7,-0.71,18.85,-22.66,-21.92,0.0,-21.42,-20.52,-19.99,2.59,30.49,-1.8,1.33,799.82,740.25,685.12,3.62,1.9,1.52,2.96,5.0,-0.17,-0.62,7.0,1.0,25011905.0,-4.52,0.0,27.2,237.3,2.71,27.2,0.00230490514042,19.62915743537809,67.22244819587594,318.0208425646219
AUS,2025-01-19 03:08:06,2025-01-19 16:08:06,-36.832198,174.7681646,72.98,73.04,332.31,88.89,40.5,65.43,28.58,-3.39,332.19,0.66,-3.62,-22.59,-19.62,0.0,-16.26,-13.16,-9.26,13.21,29.2,-1.81,-0.7,974.8,1033.7,953.61,1.82,1.86,1.32,2.31,4.99,-0.13,-0.62,7.0,1.0,25011905.0,-5.52,0.0,27.92,240.38,2.71,27.9,0.0024321381075651,15.305439555168903,70.39157181469437,317.0045604448311
AUS,2025-01-19 03:08:07,2025-01-19 16:08:07,-36.8320352,174.7680594,75.78,74.97,331.1,91.74,40.32,65.24,29.36,-1.03,331.22,0.86,-11.73,-22.53,-16.72,0.0,-10.18,-3.66,4.35,26.82,29.59,-1.47,-2.81,1289.34,1380.18,1415.77,1.2,1.87,1.13,1.67,4.99,-0.1,-0.62,7.0,1.0,25011905.0,-6.42,0.0,27.31,244.91,2.71,27.0,0.0025928221377853,14.974645676031798,73.20653115982657,316.1253543239682
AUS,2025-01-19 03:08:08,2025-01-19 16:08:08,-36.8318712,174.7679434,78.02,78.24,327.53,90.04,40.18,64.8,28.01,-3.69,326.46,1.41,-8.9,-22.54,-16.37,0.0,-9.65,-2.16,4.84,27.42,27.85,-1.83,-1.74,1469.27,1552.83,1534.48,0.56,1.86,1.0,1.17,4.99,-0.09,-0.62,7.0,1.0,25011905.0,-7.42,0.0,26.36,251.47,2.71,26.5,0.002770003358762,12.285707406128381,76.23323940888933,315.2442925938716
AUS,2025-01-19 03:08:09,2025-01-19 16:08:09,-36.8317067,174.7678126,80.4,79.55,327.37,87.92,40.14,64.07,26.71,1.43,328.73,0.53,4.53,-22.58,-17.99,0.0,-12.83,-7.63,-2.83,19.84,25.68,-2.87,-0.29,1258.05,1228.95,1204.52,0.56,1.87,0.84,1.3,4.99,-0.08,-0.62,7.0,1.0,25011905.0,-8.42,0.0,25.2,259.61,2.71,24.5,0.0029697918583337,12.959836382424328,78.3520120632786,314.4101636175757
AUS,2025-01-19 03:08:10,2025-01-19 16:08:10,-36.8315368,174.7676844,80.65,79.1,327.67,87.99,40.02,63.45,26.01,-1.54,328.41,-0.3,6.2,-22.6,-18.73,0.0,-14.4,-9.72,-4.52,18.02,25.66,-2.54,-1.8,999.3,934.63,927.45,1.81,1.88,0.83,1.53,4.99,-0.12,-0.62,7.0,1.0,25011905.0,-9.42,0.0,23.23,266.38,2.71,22.9,0.0031656104654871,14.328474248249051,78.1412092236547,313.34152575175096
AUS,2025-01-19 03:08:11,2025-01-19 16:08:11,-36.8313685,174.7675548,80.25,78.69,325.13,87.77,39.29,62.71,25.49,-2.4,326.16,-0.5,1.6,-22.59,-18.48,0.0,-13.94,-9.18,-4.79,17.88,25.12,-2.73,-0.86,894.48,896.09,838.71,1.74,1.86,0.88,2.13,4.99,-0.13,-0.62,7.0,1.0,25011905.0,-10.42,0.0,23.22,274.16,2.71,23.3,0.0033635689450193,12.977788640581082,78.20019001096931,312.1522113594189
